     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
   361     4451        1090.754        1462.786         307.006          62.001         108.192          90.168           S1
   362     4452        3270.508        3217.082         973.576          54.020         647.668         639.082           S1
   363     4453        5566.022        4720.564        1127.805          94.611         111.368          80.305           S1
   364     4454       22773.469       30014.694       13638.769         403.345        3396.799        5812.725           S1
   365     4455        2510.736       12094.613        8991.746       24802.170       50913.913       25533.984           S2
   366     4459         880.419        2241.512        1848.972        2512.260        5030.617        3621.766           S2
   367     4462          85.333         704.062         606.019        5013.652        9506.994        3488.307           S2
   368     4465         527.658        2905.160        2222.906        6382.353       14543.850        8295.685           S2
   369     4468          62.767         326.752         185.150       12101.177        7522.484        1438.775           S2
   370     4470         104.411         871.464         995.733         334.974        1412.718        1510.878           S2
   371     4471         437.818        1196.870         842.575        1066.338        2387.596        1378.241           S2
   372     4479        9113.910       17165.663        9273.137        2700.207        9833.329        8921.406           S1
   373     4480       13147.838       32099.618       31027.561        8744.970       28163.790       34070.789           S1
